Name,County,Started,Updated,Acres burned,% contained
Horton Fire,"Gila, AZ","December 14, 2024 5:31 PM PST","January 12, 2025 5:40 AM PST",8346,89
Bear Creek Fire,"Albany, WY","September 11, 2024 3:52 PM PDT","January 8, 2025 12:44 PM PST",1444,100
Palisades Fire,"Los Angeles, CA","January 7, 2025 10:38 AM PST","January 14, 2025 2:41 PM PST",23713,17
Eaton Fire,"Los Angeles, CA","January 7, 2025 6:18 PM PST","January 13, 2025 9:59 PM PST",14117,35
Hurst Fire,"Los Angeles, CA","January 7, 2025 10:30 PM PST","January 10, 2025 7:25 PM PST",799,97
Kenneth Fire,"Ventura, CA","January 9, 2025 2:52 PM PST","January 10, 2025 5:34 PM PST",1052,100
Oak Fire,"Santa Barbara, CA","January 1, 2025 12:08 PM PST","January 12, 2025 1:36 AM PST",42,100
Tyler Fire,"Riverside, CA","January 7, 2025 7:25 PM PST","January 10, 2025 3:18 AM PST",11,100
Woodley Fire,"Los Angeles, CA","January 7, 2025 10:15 PM PST","January 8, 2025 12:35 PM PST",30,100
Olivas Fire,"Ventura, CA","January 8, 2025 2:44 AM PST","January 13, 2025 6:12 AM PST",11,100
Lidia Fire,"Los Angeles, CA","January 8, 2025 6:07 AM PST","January 10, 2025 11:41 PM PST",395,100
Sunset Fire,"Los Angeles, CA","January 8, 2025 9:57 AM PST","January 9, 2025 7:58 AM PST",43,100
Archer Fire,"Los Angeles, CA","January 10, 2025 3:24 AM PST","January 11, 2025 12:41 AM PST",19,100
Auto Fire,"Ventura, CA","January 13, 2025 1:25 PM PST","January 14, 2025 5:01 AM PST",56,25
Scout Fire,"Riverside, CA","January 14, 2025 5:10 AM PST","January 14, 2025 8:01 AM PST",2,0
